permanent_,source_fea,source_dat,source_d_1,source_ori,loaddate,fcode,state_fips,state_name,county_fip,county_nam,stco_fipsc,population,areasqkm,gnis_id,gnis_name,shape_Leng,shape_Area,ObjectID,mch_data_download_organized_version_6_STATE_NAME,mch_data_download_organized_version_6_Total_Deliveries,mch_data_download_organized_version_6_Percent_Total_Deliveries,mch_data_download_organized_version_6_Percent_Medicaid_Deliveries,mch_data_download_organized_version_6_Percent_Uninsured_Deliveries,mch_data_download_organized_version_6_Percent_Rural_Deliveries,mch_data_download_organized_version_6_Percent_Deliveries_Among_Birthing_Persons_of_Colors,mch_data_download_organized_version_6_Percent_Black_Non_Hispanic_Birthing_Person_Of_Colors,mch_data_download_organized_version_6_Percent_Hispanic_Birthing_Person_Of_Colors,mch_data_download_organized_version_6_Percent_Other_Non_Hispanic_Birthing_Person_Of_Colors,mch_data_download_organized_version_6_Percent_Premature_Deliveries,mch_data_download_organized_version_6_Percent_Low_Birthweight_Deliveries,mch_data_download_organized_version_6_Percent_Chronic_Physical_Health_Condition,mch_data_download_organized_version_6_Percent_Chronic_Behavioral_Health_Condition,mch_data_download_organized_version_6_SMM_Per_10000_Deliveries,mch_data_download_organized_version_6_Percent_Potentially_Avoidable_Primary_Cesearean,mch_data_download_organized_version_6_Maternity_Care_Desert,mch_data_download_organized_version_6_field_19,mch_data_download_organized_version_6_Maternal_Vulnerability_Index_MVI_Score,mch_data_download_organized_version_6_Maternal_Vulnerability_Index_Reproductive_Health,mch_data_download_organized_version_6_Maternal_Vulnerability_Index_Physical_Health,mch_data_download_organized_version_6_Maternal_Vulnerability_Index_Mental_Health,mch_data_download_organized_version_6_Maternal_Vulnerability_Index_GeneralHealth,mch_data_download_organized_version_6_Maternal_Vulnerability_Index_Socioeconomic_determinants,mch_data_download_organized_version_6_Maternal_Vulnerability_Index_Physical_Environment
4067ceb7-6bcb-4668-b1cd-3ab2b738aa88,"45003",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"003",Aiken,"45003","168808",2797.624760560000141,"1247979",Aiken County,,,"1",South Carolina,"951",2,82,0.7,27,50.7,33.8,15.5,1.5,6.4,7,26,19.2,84.1,14.7,Access to Maternity Care,,High,Med,High,High,Med,Med ,High
5de41f07-9415-49ba-90d4-a8c0e3af6836,"45055",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"055",Kershaw,"45055","65403",1917.265242180000087,"1248007",Kershaw County,,,"2",South Carolina,"748",1.6,60.2,0.8,12,40.6,28.5,10.6,1.6,10.8,10.2,29.1,25.5,80.2,19.7,Low Access to Care,,High,Med,High,Med,High,Med,High
59bacc24-e503-43d1-85d7-f18eacb90c0f,"45045",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"045",Greenville,"45045","525534",2060.531521590000011,"1245489",Greenville County,,,"3",South Carolina,"5954",12.3,50.9,3.2,8.7,40.8,19,18.8,3,10.6,7.8,22.2,25.6,85.7,22.3,Access to Maternity Care,,Med,Med,Med,Med,Low,Med,High
86e5536b-8238-492a-952c-67f4509c6c11,"45041",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"041",Florence,"45041","137059",2083.066509920000044,"1248001",Florence County,,,"4",South Carolina,"1460",3,72.9,0.2,25.8,56.8,50.5,3.7,2.7,12.8,13.6,33.8,28.2,54.8,20.5,Access to Maternity Care,,High,Med,High,Med,High,Med,High
d15e7539-4d1a-4a99-880c-84024eb0cf6e,"45035",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"035",Dorchester,"45035","161540",1479.132005120000031,"1247998",Dorchester County,,,"5",South Carolina,"1760",3.6,58.4,0.9,11.4,45.1,28.4,14.1,2.7,10.3,9,20.5,22.7,119.3,24.2,Access to Maternity Care,,Med,Med,Med,Med,Med,Med,High
bc8ff09d-ffa8-4cc4-aeda-2b0f7b2722d3,"45043",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"043",Georgetown,"45043","63404",2680.205088950000118,"1248002",Georgetown County,,,"6",South Carolina,"432",0.9,71.3,0.2,84.3,45.1,37.3,7.4,0.5,7.2,7.9,22.9,25.2,92.6,29.9,Access to Maternity Care,,High,High,High,Med,Med,High,High
aff22da8-9aa5-4f19-b1e5-096d9a191ceb,"45075",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"075",Orangeburg,"45075","84223",2921.207132840000213,"1248014",Orangeburg County,,,"7",South Carolina,"700",1.5,84.4,0.3,51.7,70.9,64,5.1,1.7,13.7,13.4,25.3,17.6,128.6,26.3,Low Access to Care,,High,Med,High,Med,High,High,Med
73aecbe7-abfb-44be-8d1e-081bad83e6f4,"45023",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"023",Chester,"45023","32294",1518.155185190000111,"1247988",Chester County,,,"8",South Carolina,"200",0.4,80.5,2.5,100,47,42.5,4.5,0,8.5,10,28,32.5,150,33.3,Maternity Care Desert,,High,Med,High,High,Med,High,High
1617423a-5181-49d0-92bf-2be86d7f98ae,"45081",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"081",Saluda,"45081","18862",1195.628435950000039,"1248016",Saluda County,,,"9",South Carolina,"207",0.4,80.7,4.3,99.5,61.8,18.8,42,1,11.6,11.6,25.6,19.8,48.3,22,Maternity Care Desert,,High,Med,High,Med,High,High,High
64b83821-f103-414c-9a3b-f585aeadea42,"45089",ccda6193-1739-4dd9-aa2b-1f14c80bcca4,"2022 TIGER/Line Shapefile, Current County and Equivalent",U.S. Census Bureau,2022/11/30,"61200","45",South Carolina,"089",Williamsburg,"45089","31026",2426.939272829999936,"1248018",Williamsburg County,,,"10",South Carolina,"256",0.5,84,0,98.4,68.8,66.8,0.8,1.2,15.6,16,34.8,22.7,195.3,24.3,Maternity Care Desert,,High,High,High,High,High,High,High
