County Name,Total Deliveries,Total Deliveries%,Medicaid Deliveries%,Uninsured Deliveries%,Percent Rural Deliveries%,Deliveries Among Birthing Persons of Colors%,Black Non Hispanic Birthing Person Of Colors%,Hispanic Birthing Person Of Colors%,Other Non Hispanic Birthing Person Of Colors%,Premature Deliveries%,Low Birthweight Deliveries%,Chronic Physical Health Condition%,Chronic Behavioral Health Condition%,SMM Per 10000 Deliveries,Potentially Avoidable Primary Cesearean%,Maternity Care Desert,Maternal Vulnerability Index MVI Score,Maternal Vulnerability Index Reproductive Health,Maternal Vulnerability Index Physical Health,Maternal Vulnerability Index Mental Health,Maternal Vulnerability Index GeneralHealth,Maternal Vulnerability Index Socioeconomic determinants,Maternal Vulnerability Index Physical Environment
Aiken,951,2,82,0.7,27,50.7,33.8,15.5,1.5,6.4,7,26,19.2,84.1,14.7,Access to Maternity Care,High,Med,High,High,Med,Med,High
Kershaw,748,1.6,60.2,0.8,12,40.6,28.5,10.6,1.6,10.8,10.2,29.1,25.5,80.2,19.7,Low Access to Care,High,Med,High,Med,High,Med,High
Greenville,5954,12.3,50.9,3.2,8.7,40.8,19,18.8,3,10.6,7.8,22.2,25.6,85.7,22.3,Access to Maternity Care,Med,Med,Med,Med,Low,Med,High
Florence,1460,3,72.9,0.2,25.8,56.8,50.5,3.7,2.7,12.8,13.6,33.8,28.2,54.8,20.5,Access to Maternity Care,High,Med,High,Med,High,Med,High
Dorchester,1760,3.6,58.4,0.9,11.4,45.1,28.4,14.1,2.7,10.3,9,20.5,22.7,119.3,24.2,Access to Maternity Care,Med,Med,Med,Med,Med,Med,High
Georgetown,432,0.9,71.3,0.2,84.3,45.1,37.3,7.4,0.5,7.2,7.9,22.9,25.2,92.6,29.9,Access to Maternity Care,High,High,High,Med,Med,High,High
Orangeburg,700,1.5,84.4,0.3,51.7,70.9,64,5.1,1.7,13.7,13.4,25.3,17.6,128.6,26.3,Low Access to Care,High,Med,High,Med,High,High,Med
Chester,200,0.4,80.5,2.5,100,47,42.5,4.5,0,8.5,10,28,32.5,150,33.3,Maternity Care Desert,High,Med,High,High,Med,High,High
Saluda,207,0.4,80.7,4.3,99.5,61.8,18.8,42,1,11.6,11.6,25.6,19.8,48.3,22,Maternity Care Desert,High,Med,High,Med,High,High,High
Williamsburg,256,0.5,84,0,98.4,68.8,66.8,0.8,1.2,15.6,16,34.8,22.7,195.3,24.3,Maternity Care Desert,High,High,High,High,High,High,High
Darlington,667,1.4,78.7,0.3,64.9,52.8,48,3.7,1,11.4,11.7,34.5,31,75,23.1,Access to Maternity Care,High,Med,High,Med,High,High,Low
