prompt,completion
"What was the Total Deliveries in Aiken, South Carolina, in 2022?","The Total Deliveries in Aiken, South Carolina, in 2022 was 951."
"What was the Percent Total Deliveries in Aiken, South Carolina, in 2022?","The Percent Total Deliveries in Aiken, South Carolina, in 2022 was 2."
"What was the Percent Medicaid Deliveries in Aiken, South Carolina, in 2022?","The Percent Medicaid Deliveries in Aiken, South Carolina, in 2022 was 82."
"What was the Percent Uninsured Deliveries in Aiken, South Carolina, in 2022?","The Percent Uninsured Deliveries in Aiken, South Carolina, in 2022 was 0,7."
"What was the Percent Rural Deliveries in Aiken, South Carolina, in 2022?","The Percent Rural Deliveries in Aiken, South Carolina, in 2022 was 27."
"What was the Percent Birthing Persons of Color in Aiken, South Carolina, in 2022?","The Percent Birthing Persons of Color in Aiken, South Carolina, in 2022 was 50,7."
"What was the Percent Black Non-Hispanic Birthing Persons in Aiken, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Aiken, South Carolina, in 2022 was 33,8."
"What was the Percent Hispanic Birthing Persons in Aiken, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Aiken, South Carolina, in 2022 was 15,5."
"What was the Percent Other Non-Hispanic Birthing Persons in Aiken, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Aiken, South Carolina, in 2022 was 1,5."
"What was the Percent Premature Deliveries in Aiken, South Carolina, in 2022?","The Percent Premature Deliveries in Aiken, South Carolina, in 2022 was 6,4."
"What was the Percent Low Birthweight Deliveries in Aiken, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Aiken, South Carolina, in 2022 was 7."
"What was the Percent Chronic Physical Health Conditions in Aiken, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Aiken, South Carolina, in 2022 was 26."
"What was the Percent Chronic Behavioral Health Conditions in Aiken, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Aiken, South Carolina, in 2022 was 19,2."
"What was the SMM Per 10000 Deliveries in Aiken, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Aiken, South Carolina, in 2022 was 84,1."
"What was the Percent Potentially Avoidable Primary Cesareans in Aiken, South Carolina, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Aiken, South Carolina, in 2022 was 14,7."
"What was the Maternity Care Desert in Aiken, South Carolina, in 2022?","The Maternity Care Desert in Aiken, South Carolina, in 2022 was Access to Maternity Care."
"What was the Maternal Vulnerability Index (MVI) Score in Aiken, South Carolina, in 2022?","The Maternal Vulnerability Index (MVI) Score in Aiken, South Carolina, in 2022 was High."
"What was the MVI Reproductive Health in Aiken, South Carolina, in 2022?","The MVI Reproductive Health in Aiken, South Carolina, in 2022 was Med."
"What was the MVI Physical Health in Aiken, South Carolina, in 2022?","The MVI Physical Health in Aiken, South Carolina, in 2022 was High."
"What was the MVI Mental Health in Aiken, South Carolina, in 2022?","The MVI Mental Health in Aiken, South Carolina, in 2022 was High."
"What was the MVI General Health in Aiken, South Carolina, in 2022?","The MVI General Health in Aiken, South Carolina, in 2022 was Med."
"What was the MVI Socioeconomic Determinants in Aiken, South Carolina, in 2022?","The MVI Socioeconomic Determinants in Aiken, South Carolina, in 2022 was Med."
"What was the MVI Physical Environment in Aiken, South Carolina, in 2022?","The MVI Physical Environment in Aiken, South Carolina, in 2022 was High."
"What was the population of Aiken, South Carolina, in 2022?","The population of Aiken, South Carolina, in 2022 was 168808."
"What is the area in square kilometers of Aiken, South Carolina?","The area of Aiken, South Carolina, is 2797,624761 square kilometers."
"What is the GNIS name associated with Aiken, South Carolina?","The GNIS name associated with Aiken, South Carolina, is Aiken County."
"What was the Total Deliveries in Kershaw, South Carolina, in 2022?","The Total Deliveries in Kershaw, South Carolina, in 2022 was 748."
"What was the Percent Total Deliveries in Kershaw, South Carolina, in 2022?","The Percent Total Deliveries in Kershaw, South Carolina, in 2022 was 1,6."
"What was the Percent Medicaid Deliveries in Kershaw, South Carolina, in 2022?","The Percent Medicaid Deliveries in Kershaw, South Carolina, in 2022 was 60,2."
"What was the Percent Uninsured Deliveries in Kershaw, South Carolina, in 2022?","The Percent Uninsured Deliveries in Kershaw, South Carolina, in 2022 was 0,8."
"What was the Percent Rural Deliveries in Kershaw, South Carolina, in 2022?","The Percent Rural Deliveries in Kershaw, South Carolina, in 2022 was 12."
"What was the Percent Birthing Persons of Color in Kershaw, South Carolina, in 2022?","The Percent Birthing Persons of Color in Kershaw, South Carolina, in 2022 was 40,6."
"What was the Percent Black Non-Hispanic Birthing Persons in Kershaw, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Kershaw, South Carolina, in 2022 was 28,5."
"What was the Percent Hispanic Birthing Persons in Kershaw, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Kershaw, South Carolina, in 2022 was 10,6."
"What was the Percent Other Non-Hispanic Birthing Persons in Kershaw, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Kershaw, South Carolina, in 2022 was 1,6."
"What was the Percent Premature Deliveries in Kershaw, South Carolina, in 2022?","The Percent Premature Deliveries in Kershaw, South Carolina, in 2022 was 10,8."
"What was the Percent Low Birthweight Deliveries in Kershaw, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Kershaw, South Carolina, in 2022 was 10,2."
"What was the Percent Chronic Physical Health Conditions in Kershaw, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Kershaw, South Carolina, in 2022 was 29,1."
"What was the Percent Chronic Behavioral Health Conditions in Kershaw, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Kershaw, South Carolina, in 2022 was 25,5."
"What was the SMM Per 10000 Deliveries in Kershaw, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Kershaw, South Carolina, in 2022 was 80,2."
"What was the Percent Potentially Avoidable Primary Cesareans in Kershaw, South Carolina, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Kershaw, South Carolina, in 2022 was 19,7."
"What was the Maternity Care Desert in Kershaw, South Carolina, in 2022?","The Maternity Care Desert in Kershaw, South Carolina, in 2022 was Low Access to Care."
"What was the Maternal Vulnerability Index (MVI) Score in Kershaw, South Carolina, in 2022?","The Maternal Vulnerability Index (MVI) Score in Kershaw, South Carolina, in 2022 was High."
"What was the MVI Reproductive Health in Kershaw, South Carolina, in 2022?","The MVI Reproductive Health in Kershaw, South Carolina, in 2022 was Med."
"What was the MVI Physical Health in Kershaw, South Carolina, in 2022?","The MVI Physical Health in Kershaw, South Carolina, in 2022 was High."
"What was the MVI Mental Health in Kershaw, South Carolina, in 2022?","The MVI Mental Health in Kershaw, South Carolina, in 2022 was Med."
"What was the MVI General Health in Kershaw, South Carolina, in 2022?","The MVI General Health in Kershaw, South Carolina, in 2022 was High."
"What was the MVI Socioeconomic Determinants in Kershaw, South Carolina, in 2022?","The MVI Socioeconomic Determinants in Kershaw, South Carolina, in 2022 was Med."
"What was the MVI Physical Environment in Kershaw, South Carolina, in 2022?","The MVI Physical Environment in Kershaw, South Carolina, in 2022 was High."
"What was the population of Kershaw, South Carolina, in 2022?","The population of Kershaw, South Carolina, in 2022 was 65403."
"What is the area in square kilometers of Kershaw, South Carolina?","The area of Kershaw, South Carolina, is 1917,265242 square kilometers."
"What is the GNIS name associated with Kershaw, South Carolina?","The GNIS name associated with Kershaw, South Carolina, is Kershaw County."
"What was the Total Deliveries in Greenville, South Carolina, in 2022?","The Total Deliveries in Greenville, South Carolina, in 2022 was 5954."
"What was the Percent Total Deliveries in Greenville, South Carolina, in 2022?","The Percent Total Deliveries in Greenville, South Carolina, in 2022 was 12,3."
"What was the Percent Medicaid Deliveries in Greenville, South Carolina, in 2022?","The Percent Medicaid Deliveries in Greenville, South Carolina, in 2022 was 50,9."
"What was the Percent Uninsured Deliveries in Greenville, South Carolina, in 2022?","The Percent Uninsured Deliveries in Greenville, South Carolina, in 2022 was 3,2."
"What was the Percent Rural Deliveries in Greenville, South Carolina, in 2022?","The Percent Rural Deliveries in Greenville, South Carolina, in 2022 was 8,7."
"What was the Percent Birthing Persons of Color in Greenville, South Carolina, in 2022?","The Percent Birthing Persons of Color in Greenville, South Carolina, in 2022 was 40,8."
"What was the Percent Black Non-Hispanic Birthing Persons in Greenville, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Greenville, South Carolina, in 2022 was 19."
"What was the Percent Hispanic Birthing Persons in Greenville, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Greenville, South Carolina, in 2022 was 18,8."
"What was the Percent Other Non-Hispanic Birthing Persons in Greenville, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Greenville, South Carolina, in 2022 was 3."
"What was the Percent Premature Deliveries in Greenville, South Carolina, in 2022?","The Percent Premature Deliveries in Greenville, South Carolina, in 2022 was 10,6."
"What was the Percent Low Birthweight Deliveries in Greenville, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Greenville, South Carolina, in 2022 was 7,8."
"What was the Percent Chronic Physical Health Conditions in Greenville, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Greenville, South Carolina, in 2022 was 22,2."
"What was the Percent Chronic Behavioral Health Conditions in Greenville, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Greenville, South Carolina, in 2022 was 25,6."
"What was the SMM Per 10000 Deliveries in Greenville, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Greenville, South Carolina, in 2022 was 85,7."
"What was the Percent Potentially Avoidable Primary Cesareans in Greenville, South Carolina, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Greenville, South Carolina, in 2022 was 22,3."
"What was the Maternity Care Desert in Greenville, South Carolina, in 2022?","The Maternity Care Desert in Greenville, South Carolina, in 2022 was Access to Maternity Care."
"What was the Maternal Vulnerability Index (MVI) Score in Greenville, South Carolina, in 2022?","The Maternal Vulnerability Index (MVI) Score in Greenville, South Carolina, in 2022 was Med."
"What was the MVI Reproductive Health in Greenville, South Carolina, in 2022?","The MVI Reproductive Health in Greenville, South Carolina, in 2022 was Med."
"What was the MVI Physical Health in Greenville, South Carolina, in 2022?","The MVI Physical Health in Greenville, South Carolina, in 2022 was Med."
"What was the MVI Mental Health in Greenville, South Carolina, in 2022?","The MVI Mental Health in Greenville, South Carolina, in 2022 was Med."
"What was the MVI General Health in Greenville, South Carolina, in 2022?","The MVI General Health in Greenville, South Carolina, in 2022 was Low."
"What was the MVI Socioeconomic Determinants in Greenville, South Carolina, in 2022?","The MVI Socioeconomic Determinants in Greenville, South Carolina, in 2022 was Med."
"What was the MVI Physical Environment in Greenville, South Carolina, in 2022?","The MVI Physical Environment in Greenville, South Carolina, in 2022 was High."
"What was the population of Greenville, South Carolina, in 2022?","The population of Greenville, South Carolina, in 2022 was 525534."
"What is the area in square kilometers of Greenville, South Carolina?","The area of Greenville, South Carolina, is 2060,531522 square kilometers."
"What is the GNIS name associated with Greenville, South Carolina?","The GNIS name associated with Greenville, South Carolina, is Greenville County."
"What was the Total Deliveries in Florence, South Carolina, in 2022?","The Total Deliveries in Florence, South Carolina, in 2022 was 1460."
"What was the Percent Total Deliveries in Florence, South Carolina, in 2022?","The Percent Total Deliveries in Florence, South Carolina, in 2022 was 3."
"What was the Percent Medicaid Deliveries in Florence, South Carolina, in 2022?","The Percent Medicaid Deliveries in Florence, South Carolina, in 2022 was 72,9."
"What was the Percent Uninsured Deliveries in Florence, South Carolina, in 2022?","The Percent Uninsured Deliveries in Florence, South Carolina, in 2022 was 0,2."
"What was the Percent Rural Deliveries in Florence, South Carolina, in 2022?","The Percent Rural Deliveries in Florence, South Carolina, in 2022 was 25,8."
"What was the Percent Birthing Persons of Color in Florence, South Carolina, in 2022?","The Percent Birthing Persons of Color in Florence, South Carolina, in 2022 was 56,8."
"What was the Percent Black Non-Hispanic Birthing Persons in Florence, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Florence, South Carolina, in 2022 was 50,5."
"What was the Percent Hispanic Birthing Persons in Florence, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Florence, South Carolina, in 2022 was 3,7."
"What was the Percent Other Non-Hispanic Birthing Persons in Florence, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Florence, South Carolina, in 2022 was 2,7."
"What was the Percent Premature Deliveries in Florence, South Carolina, in 2022?","The Percent Premature Deliveries in Florence, South Carolina, in 2022 was 12,8."
"What was the Percent Low Birthweight Deliveries in Florence, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Florence, South Carolina, in 2022 was 13,6."
"What was the Percent Chronic Physical Health Conditions in Florence, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Florence, South Carolina, in 2022 was 33,8."
"What was the Percent Chronic Behavioral Health Conditions in Florence, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Florence, South Carolina, in 2022 was 28,2."
"What was the SMM Per 10000 Deliveries in Florence, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Florence, South Carolina, in 2022 was 54,8."
"What was the Percent Potentially Avoidable Primary Cesareans in Florence, South Carolina, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Florence, South Carolina, in 2022 was 20,5."
"What was the Maternity Care Desert in Florence, South Carolina, in 2022?","The Maternity Care Desert in Florence, South Carolina, in 2022 was Access to Maternity Care."
"What was the Maternal Vulnerability Index (MVI) Score in Florence, South Carolina, in 2022?","The Maternal Vulnerability Index (MVI) Score in Florence, South Carolina, in 2022 was High."
"What was the MVI Reproductive Health in Florence, South Carolina, in 2022?","The MVI Reproductive Health in Florence, South Carolina, in 2022 was Med."
"What was the MVI Physical Health in Florence, South Carolina, in 2022?","The MVI Physical Health in Florence, South Carolina, in 2022 was High."
"What was the MVI Mental Health in Florence, South Carolina, in 2022?","The MVI Mental Health in Florence, South Carolina, in 2022 was Med."
"What was the MVI General Health in Florence, South Carolina, in 2022?","The MVI General Health in Florence, South Carolina, in 2022 was High."
"What was the MVI Socioeconomic Determinants in Florence, South Carolina, in 2022?","The MVI Socioeconomic Determinants in Florence, South Carolina, in 2022 was Med."
"What was the MVI Physical Environment in Florence, South Carolina, in 2022?","The MVI Physical Environment in Florence, South Carolina, in 2022 was High."
"What was the population of Florence, South Carolina, in 2022?","The population of Florence, South Carolina, in 2022 was 137059."
"What is the area in square kilometers of Florence, South Carolina?","The area of Florence, South Carolina, is 2083,06651 square kilometers."
"What is the GNIS name associated with Florence, South Carolina?","The GNIS name associated with Florence, South Carolina, is Florence County."
"What was the Total Deliveries in Dorchester, South Carolina, in 2022?","The Total Deliveries in Dorchester, South Carolina, in 2022 was 1760."
"What was the Percent Total Deliveries in Dorchester, South Carolina, in 2022?","The Percent Total Deliveries in Dorchester, South Carolina, in 2022 was 3,6."
"What was the Percent Medicaid Deliveries in Dorchester, South Carolina, in 2022?","The Percent Medicaid Deliveries in Dorchester, South Carolina, in 2022 was 58,4."
"What was the Percent Uninsured Deliveries in Dorchester, South Carolina, in 2022?","The Percent Uninsured Deliveries in Dorchester, South Carolina, in 2022 was 0,9."
"What was the Percent Rural Deliveries in Dorchester, South Carolina, in 2022?","The Percent Rural Deliveries in Dorchester, South Carolina, in 2022 was 11,4."
"What was the Percent Birthing Persons of Color in Dorchester, South Carolina, in 2022?","The Percent Birthing Persons of Color in Dorchester, South Carolina, in 2022 was 45,1."
"What was the Percent Black Non-Hispanic Birthing Persons in Dorchester, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Dorchester, South Carolina, in 2022 was 28,4."
"What was the Percent Hispanic Birthing Persons in Dorchester, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Dorchester, South Carolina, in 2022 was 14,1."
"What was the Percent Other Non-Hispanic Birthing Persons in Dorchester, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Dorchester, South Carolina, in 2022 was 2,7."
"What was the Percent Premature Deliveries in Dorchester, South Carolina, in 2022?","The Percent Premature Deliveries in Dorchester, South Carolina, in 2022 was 10,3."
"What was the Percent Low Birthweight Deliveries in Dorchester, South Carolina, in 2022?","The Percent Low Birthweight Deliveries in Dorchester, South Carolina, in 2022 was 9."
"What was the Percent Chronic Physical Health Conditions in Dorchester, South Carolina, in 2022?","The Percent Chronic Physical Health Conditions in Dorchester, South Carolina, in 2022 was 20,5."
"What was the Percent Chronic Behavioral Health Conditions in Dorchester, South Carolina, in 2022?","The Percent Chronic Behavioral Health Conditions in Dorchester, South Carolina, in 2022 was 22,7."
"What was the SMM Per 10000 Deliveries in Dorchester, South Carolina, in 2022?","The SMM Per 10000 Deliveries in Dorchester, South Carolina, in 2022 was 119,3."
"What was the Percent Potentially Avoidable Primary Cesareans in Dorchester, South Carolina, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Dorchester, South Carolina, in 2022 was 24,2."
"What was the Maternity Care Desert in Dorchester, South Carolina, in 2022?","The Maternity Care Desert in Dorchester, South Carolina, in 2022 was Access to Maternity Care."
"What was the Maternal Vulnerability Index (MVI) Score in Dorchester, South Carolina, in 2022?","The Maternal Vulnerability Index (MVI) Score in Dorchester, South Carolina, in 2022 was Med."
"What was the MVI Reproductive Health in Dorchester, South Carolina, in 2022?","The MVI Reproductive Health in Dorchester, South Carolina, in 2022 was Med."
"What was the MVI Physical Health in Dorchester, South Carolina, in 2022?","The MVI Physical Health in Dorchester, South Carolina, in 2022 was Med."
"What was the MVI Mental Health in Dorchester, South Carolina, in 2022?","The MVI Mental Health in Dorchester, South Carolina, in 2022 was Med."
"What was the MVI General Health in Dorchester, South Carolina, in 2022?","The MVI General Health in Dorchester, South Carolina, in 2022 was Med."
"What was the MVI Socioeconomic Determinants in Dorchester, South Carolina, in 2022?","The MVI Socioeconomic Determinants in Dorchester, South Carolina, in 2022 was Med."
"What was the MVI Physical Environment in Dorchester, South Carolina, in 2022?","The MVI Physical Environment in Dorchester, South Carolina, in 2022 was High."
"What was the population of Dorchester, South Carolina, in 2022?","The population of Dorchester, South Carolina, in 2022 was 161540."
"What is the area in square kilometers of Dorchester, South Carolina?","The area of Dorchester, South Carolina, is 1479,132005 square kilometers."
"What is the GNIS name associated with Dorchester, South Carolina?","The GNIS name associated with Dorchester, South Carolina, is Dorchester County."
"What was the Total Deliveries in Georgetown, South Carolina, in 2022?","The Total Deliveries in Georgetown, South Carolina, in 2022 was 432."
"What was the Percent Total Deliveries in Georgetown, South Carolina, in 2022?","The Percent Total Deliveries in Georgetown, South Carolina, in 2022 was 0,9."
"What was the Percent Medicaid Deliveries in Georgetown, South Carolina, in 2022?","The Percent Medicaid Deliveries in Georgetown, South Carolina, in 2022 was 71,3."
"What was the Percent Uninsured Deliveries in Georgetown, South Carolina, in 2022?","The Percent Uninsured Deliveries in Georgetown, South Carolina, in 2022 was 0,2."
"What was the Percent Rural Deliveries in Georgetown, South Carolina, in 2022?","The Percent Rural Deliveries in Georgetown, South Carolina, in 2022 was 84,3."
"What was the Percent Birthing Persons of Color in Georgetown, South Carolina, in 2022?","The Percent Birthing Persons of Color in Georgetown, South Carolina, in 2022 was 45,1."
"What was the Percent Black Non-Hispanic Birthing Persons in Georgetown, South Carolina, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Georgetown, South Carolina, in 2022 was 37,3."
"What was the Percent Hispanic Birthing Persons in Georgetown, South Carolina, in 2022?","The Percent Hispanic Birthing Persons in Georgetown, South Carolina, in 2022 was 7,4."
"What was the Percent Other Non-Hispanic Birthing Persons in Georgetown, South Carolina, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Georgetown, South Carolina, in 2022 was 0,5."
