prompt,completion
"What was the Total Deliveries in Aiken, Unknown, in 2022?","The Total Deliveries in Aiken, Unknown, in 2022 was 951."
Can you tell me what was the Total Deliveries in Aiken in 2022?,"Yes, your answer is here, the Total Deliveries in Aiken was 951."
The value for Total Deliveries in Aiken in 2022 was equal to?,"Yes, your answer is here, the Total Deliveries in Aiken was equal to 951."
Can you provide some details regarding the value for Total Deliveries in Aiken in 2022?,"Yes, your queried detail is here, the Total Deliveries in Aiken was equal to 951."
"What was the Percent Total Deliveries in Aiken, Unknown, in 2022?","The Percent Total Deliveries in Aiken, Unknown, in 2022 was 2.0."
Can you tell me what was the Percent Total Deliveries in Aiken in 2022?,"Yes, your answer is here, the Percent Total Deliveries in Aiken was 2.0."
The value for Percent Total Deliveries in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Total Deliveries in Aiken was equal to 2.0."
Can you provide some details regarding the value for Percent Total Deliveries in Aiken in 2022?,"Yes, your queried detail is here, the Percent Total Deliveries in Aiken was equal to 2.0."
"What was the Percent Medicaid Deliveries in Aiken, Unknown, in 2022?","The Percent Medicaid Deliveries in Aiken, Unknown, in 2022 was 82.0."
Can you tell me what was the Percent Medicaid Deliveries in Aiken in 2022?,"Yes, your answer is here, the Percent Medicaid Deliveries in Aiken was 82.0."
The value for Percent Medicaid Deliveries in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Medicaid Deliveries in Aiken was equal to 82.0."
Can you provide some details regarding the value for Percent Medicaid Deliveries in Aiken in 2022?,"Yes, your queried detail is here, the Percent Medicaid Deliveries in Aiken was equal to 82.0."
"What was the Percent Uninsured Deliveries in Aiken, Unknown, in 2022?","The Percent Uninsured Deliveries in Aiken, Unknown, in 2022 was 0.7."
Can you tell me what was the Percent Uninsured Deliveries in Aiken in 2022?,"Yes, your answer is here, the Percent Uninsured Deliveries in Aiken was 0.7."
The value for Percent Uninsured Deliveries in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Uninsured Deliveries in Aiken was equal to 0.7."
Can you provide some details regarding the value for Percent Uninsured Deliveries in Aiken in 2022?,"Yes, your queried detail is here, the Percent Uninsured Deliveries in Aiken was equal to 0.7."
"What was the Percent Black Non-Hispanic Birthing Persons in Aiken, Unknown, in 2022?","The Percent Black Non-Hispanic Birthing Persons in Aiken, Unknown, in 2022 was 33.8."
Can you tell me what was the Percent Black Non-Hispanic Birthing Persons in Aiken in 2022?,"Yes, your answer is here, the Percent Black Non-Hispanic Birthing Persons in Aiken was 33.8."
The value for Percent Black Non-Hispanic Birthing Persons in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Black Non-Hispanic Birthing Persons in Aiken was equal to 33.8."
Can you provide some details regarding the value for Percent Black Non-Hispanic Birthing Persons in Aiken in 2022?,"Yes, your queried detail is here, the Percent Black Non-Hispanic Birthing Persons in Aiken was equal to 33.8."
"What was the Percent Hispanic Birthing Persons in Aiken, Unknown, in 2022?","The Percent Hispanic Birthing Persons in Aiken, Unknown, in 2022 was 15.5."
Can you tell me what was the Percent Hispanic Birthing Persons in Aiken in 2022?,"Yes, your answer is here, the Percent Hispanic Birthing Persons in Aiken was 15.5."
The value for Percent Hispanic Birthing Persons in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Hispanic Birthing Persons in Aiken was equal to 15.5."
Can you provide some details regarding the value for Percent Hispanic Birthing Persons in Aiken in 2022?,"Yes, your queried detail is here, the Percent Hispanic Birthing Persons in Aiken was equal to 15.5."
"What was the Percent Other Non-Hispanic Birthing Persons in Aiken, Unknown, in 2022?","The Percent Other Non-Hispanic Birthing Persons in Aiken, Unknown, in 2022 was 1.5."
Can you tell me what was the Percent Other Non-Hispanic Birthing Persons in Aiken in 2022?,"Yes, your answer is here, the Percent Other Non-Hispanic Birthing Persons in Aiken was 1.5."
The value for Percent Other Non-Hispanic Birthing Persons in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Other Non-Hispanic Birthing Persons in Aiken was equal to 1.5."
Can you provide some details regarding the value for Percent Other Non-Hispanic Birthing Persons in Aiken in 2022?,"Yes, your queried detail is here, the Percent Other Non-Hispanic Birthing Persons in Aiken was equal to 1.5."
"What was the Percent Premature Deliveries in Aiken, Unknown, in 2022?","The Percent Premature Deliveries in Aiken, Unknown, in 2022 was 6.4."
Can you tell me what was the Percent Premature Deliveries in Aiken in 2022?,"Yes, your answer is here, the Percent Premature Deliveries in Aiken was 6.4."
The value for Percent Premature Deliveries in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Premature Deliveries in Aiken was equal to 6.4."
Can you provide some details regarding the value for Percent Premature Deliveries in Aiken in 2022?,"Yes, your queried detail is here, the Percent Premature Deliveries in Aiken was equal to 6.4."
"What was the Percent Low Birthweight Deliveries in Aiken, Unknown, in 2022?","The Percent Low Birthweight Deliveries in Aiken, Unknown, in 2022 was 7.0."
Can you tell me what was the Percent Low Birthweight Deliveries in Aiken in 2022?,"Yes, your answer is here, the Percent Low Birthweight Deliveries in Aiken was 7.0."
The value for Percent Low Birthweight Deliveries in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Low Birthweight Deliveries in Aiken was equal to 7.0."
Can you provide some details regarding the value for Percent Low Birthweight Deliveries in Aiken in 2022?,"Yes, your queried detail is here, the Percent Low Birthweight Deliveries in Aiken was equal to 7.0."
"What was the Percent Chronic Physical Health Conditions in Aiken, Unknown, in 2022?","The Percent Chronic Physical Health Conditions in Aiken, Unknown, in 2022 was 26.0."
Can you tell me what was the Percent Chronic Physical Health Conditions in Aiken in 2022?,"Yes, your answer is here, the Percent Chronic Physical Health Conditions in Aiken was 26.0."
The value for Percent Chronic Physical Health Conditions in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Chronic Physical Health Conditions in Aiken was equal to 26.0."
Can you provide some details regarding the value for Percent Chronic Physical Health Conditions in Aiken in 2022?,"Yes, your queried detail is here, the Percent Chronic Physical Health Conditions in Aiken was equal to 26.0."
"What was the Percent Chronic Behavioral Health Conditions in Aiken, Unknown, in 2022?","The Percent Chronic Behavioral Health Conditions in Aiken, Unknown, in 2022 was 19.2."
Can you tell me what was the Percent Chronic Behavioral Health Conditions in Aiken in 2022?,"Yes, your answer is here, the Percent Chronic Behavioral Health Conditions in Aiken was 19.2."
The value for Percent Chronic Behavioral Health Conditions in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Chronic Behavioral Health Conditions in Aiken was equal to 19.2."
Can you provide some details regarding the value for Percent Chronic Behavioral Health Conditions in Aiken in 2022?,"Yes, your queried detail is here, the Percent Chronic Behavioral Health Conditions in Aiken was equal to 19.2."
"What was the SMM Per 10000 Deliveries in Aiken, Unknown, in 2022?","The SMM Per 10000 Deliveries in Aiken, Unknown, in 2022 was 84.1."
Can you tell me what was the SMM Per 10000 Deliveries in Aiken in 2022?,"Yes, your answer is here, the SMM Per 10000 Deliveries in Aiken was 84.1."
The value for SMM Per 10000 Deliveries in Aiken in 2022 was equal to?,"Yes, your answer is here, the SMM Per 10000 Deliveries in Aiken was equal to 84.1."
Can you provide some details regarding the value for SMM Per 10000 Deliveries in Aiken in 2022?,"Yes, your queried detail is here, the SMM Per 10000 Deliveries in Aiken was equal to 84.1."
"What was the Percent Potentially Avoidable Primary Cesareans in Aiken, Unknown, in 2022?","The Percent Potentially Avoidable Primary Cesareans in Aiken, Unknown, in 2022 was 14.7."
Can you tell me what was the Percent Potentially Avoidable Primary Cesareans in Aiken in 2022?,"Yes, your answer is here, the Percent Potentially Avoidable Primary Cesareans in Aiken was 14.7."
The value for Percent Potentially Avoidable Primary Cesareans in Aiken in 2022 was equal to?,"Yes, your answer is here, the Percent Potentially Avoidable Primary Cesareans in Aiken was equal to 14.7."
Can you provide some details regarding the value for Percent Potentially Avoidable Primary Cesareans in Aiken in 2022?,"Yes, your queried detail is here, the Percent Potentially Avoidable Primary Cesareans in Aiken was equal to 14.7."
"What was the Maternity Care Desert in Aiken, Unknown, in 2022?","The Maternity Care Desert in Aiken, Unknown, in 2022 was Access to Maternity Care."
Can you tell me what was the Maternity Care Desert in Aiken in 2022?,"Yes, your answer is here, the Maternity Care Desert in Aiken was Access to Maternity Care."
The value for Maternity Care Desert in Aiken in 2022 was equal to?,"Yes, your answer is here, the Maternity Care Desert in Aiken was equal to Access to Maternity Care."
Can you provide some details regarding the value for Maternity Care Desert in Aiken in 2022?,"Yes, your queried detail is here, the Maternity Care Desert in Aiken was equal to Access to Maternity Care."
"What was the Maternal Vulnerability Index (MVI) Score in Aiken, Unknown, in 2022?","The Maternal Vulnerability Index (MVI) Score in Aiken, Unknown, in 2022 was High."
Can you tell me what was the Maternal Vulnerability Index (MVI) Score in Aiken in 2022?,"Yes, your answer is here, the Maternal Vulnerability Index (MVI) Score in Aiken was High."
The value for Maternal Vulnerability Index (MVI) Score in Aiken in 2022 was equal to?,"Yes, your answer is here, the Maternal Vulnerability Index (MVI) Score in Aiken was equal to High."
Can you provide some details regarding the value for Maternal Vulnerability Index (MVI) Score in Aiken in 2022?,"Yes, your queried detail is here, the Maternal Vulnerability Index (MVI) Score in Aiken was equal to High."
"What was the MVI Reproductive Health in Aiken, Unknown, in 2022?","The MVI Reproductive Health in Aiken, Unknown, in 2022 was Med."
Can you tell me what was the MVI Reproductive Health in Aiken in 2022?,"Yes, your answer is here, the MVI Reproductive Health in Aiken was Med."
The value for MVI Reproductive Health in Aiken in 2022 was equal to?,"Yes, your answer is here, the MVI Reproductive Health in Aiken was equal to Med."
Can you provide some details regarding the value for MVI Reproductive Health in Aiken in 2022?,"Yes, your queried detail is here, the MVI Reproductive Health in Aiken was equal to Med."
"What was the MVI Physical Health in Aiken, Unknown, in 2022?","The MVI Physical Health in Aiken, Unknown, in 2022 was High."
Can you tell me what was the MVI Physical Health in Aiken in 2022?,"Yes, your answer is here, the MVI Physical Health in Aiken was High."
The value for MVI Physical Health in Aiken in 2022 was equal to?,"Yes, your answer is here, the MVI Physical Health in Aiken was equal to High."
Can you provide some details regarding the value for MVI Physical Health in Aiken in 2022?,"Yes, your queried detail is here, the MVI Physical Health in Aiken was equal to High."
"What was the MVI Mental Health in Aiken, Unknown, in 2022?","The MVI Mental Health in Aiken, Unknown, in 2022 was High."
Can you tell me what was the MVI Mental Health in Aiken in 2022?,"Yes, your answer is here, the MVI Mental Health in Aiken was High."
The value for MVI Mental Health in Aiken in 2022 was equal to?,"Yes, your answer is here, the MVI Mental Health in Aiken was equal to High."
Can you provide some details regarding the value for MVI Mental Health in Aiken in 2022?,"Yes, your queried detail is here, the MVI Mental Health in Aiken was equal to High."
"What was the MVI General Health in Aiken, Unknown, in 2022?","The MVI General Health in Aiken, Unknown, in 2022 was Med."
Can you tell me what was the MVI General Health in Aiken in 2022?,"Yes, your answer is here, the MVI General Health in Aiken was Med."
The value for MVI General Health in Aiken in 2022 was equal to?,"Yes, your answer is here, the MVI General Health in Aiken was equal to Med."
Can you provide some details regarding the value for MVI General Health in Aiken in 2022?,"Yes, your queried detail is here, the MVI General Health in Aiken was equal to Med."
"What was the MVI Socioeconomic Determinants in Aiken, Unknown, in 2022?","The MVI Socioeconomic Determinants in Aiken, Unknown, in 2022 was Med ."
Can you tell me what was the MVI Socioeconomic Determinants in Aiken in 2022?,"Yes, your answer is here, the MVI Socioeconomic Determinants in Aiken was Med ."
The value for MVI Socioeconomic Determinants in Aiken in 2022 was equal to?,"Yes, your answer is here, the MVI Socioeconomic Determinants in Aiken was equal to Med ."
Can you provide some details regarding the value for MVI Socioeconomic Determinants in Aiken in 2022?,"Yes, your queried detail is here, the MVI Socioeconomic Determinants in Aiken was equal to Med ."
"What was the MVI Physical Environment in Aiken, Unknown, in 2022?","The MVI Physical Environment in Aiken, Unknown, in 2022 was High."
Can you tell me what was the MVI Physical Environment in Aiken in 2022?,"Yes, your answer is here, the MVI Physical Environment in Aiken was High."
The value for MVI Physical Environment in Aiken in 2022 was equal to?,"Yes, your answer is here, the MVI Physical Environment in Aiken was equal to High."
Can you provide some details regarding the value for MVI Physical Environment in Aiken in 2022?,"Yes, your queried detail is here, the MVI Physical Environment in Aiken was equal to High."
"What was the Total Deliveries in Kershaw, Unknown, in 2022?","The Total Deliveries in Kershaw, Unknown, in 2022 was 748."
Can you tell me what was the Total Deliveries in Kershaw in 2022?,"Yes, your answer is here, the Total Deliveries in Kershaw was 748."
The value for Total Deliveries in Kershaw in 2022 was equal to?,"Yes, your answer is here, the Total Deliveries in Kershaw was equal to 748."
Can you provide some details regarding the value for Total Deliveries in Kershaw in 2022?,"Yes, your queried detail is here, the Total Deliveries in Kershaw was equal to 748."
"What was the Percent Total Deliveries in Kershaw, Unknown, in 2022?","The Percent Total Deliveries in Kershaw, Unknown, in 2022 was 1.6."
Can you tell me what was the Percent Total Deliveries in Kershaw in 2022?,"Yes, your answer is here, the Percent Total Deliveries in Kershaw was 1.6."
